symbol,index_code,first_seen_date,last_seen_date,inclusion_date,removed_date
002396,000852,2026-06-28,2026-06-28,2023-06-12,
002400,000852,2026-06-28,2026-06-28,,
002405,000852,2026-06-28,2026-06-28,2022-06-13,
002408,000852,2026-06-28,2026-06-28,2025-06-16,
002416,000852,2026-06-28,2026-06-28,2023-06-12,
002428,000852,2026-06-28,2026-06-28,2018-12-17,
002434,000852,2026-06-28,2026-06-28,2023-06-12,
002456,000852,2026-06-28,2026-06-28,2021-12-13,
002458,000852,2026-06-28,2026-06-28,2023-12-11,
002468,000852,2026-06-28,2026-06-28,,
002484,000852,2026-06-28,2026-06-28,2014-10-17,
002488,000852,2026-06-28,2026-06-28,,
002497,000852,2026-06-28,2026-06-28,,
002498,000852,2026-06-28,2026-06-28,,
002506,000852,2026-06-28,2026-06-28,,
002507,000852,2026-06-28,2026-06-28,2025-12-15,
002511,000852,2026-06-28,2026-06-28,,
002516,000852,2026-06-28,2026-06-28,2014-10-17,
002518,000852,2026-06-28,2026-06-28,,
002531,000852,2026-06-28,2026-06-28,2025-06-16,
002534,000852,2026-06-28,2026-06-28,2021-12-13,
002536,000852,2026-06-28,2026-06-28,2025-12-15,
002537,000852,2026-06-28,2026-06-28,2016-12-12,
002539,000852,2026-06-28,2026-06-28,2016-06-13,
002541,000852,2026-06-28,2026-06-28,2020-12-14,
002544,000852,2026-06-28,2026-06-28,2021-06-15,
002545,000852,2026-06-28,2026-06-28,,
002549,000852,2026-06-28,2026-06-28,2026-06-15,
002550,000852,2026-06-28,2026-06-28,,
002557,000852,2026-06-28,2026-06-28,2025-06-16,
002563,000852,2026-06-28,2026-06-28,2025-12-15,
002572,000852,2026-06-28,2026-06-28,2025-12-15,
002588,000852,2026-06-28,2026-06-28,,
002597,000852,2026-06-28,2026-06-28,2014-10-17,
002605,000852,2026-06-28,2026-06-28,2014-10-17,
002611,000852,2026-06-28,2026-06-28,2025-06-16,
002617,000852,2026-06-28,2026-06-28,2014-10-17,
002626,000852,2026-06-28,2026-06-28,2014-10-17,
002635,000852,2026-06-28,2026-06-28,2021-12-13,
002636,000852,2026-06-28,2026-06-28,,
002639,000852,2026-06-28,2026-06-28,2026-06-15,
002643,000852,2026-06-28,2026-06-28,2014-10-17,
002651,000852,2026-06-28,2026-06-28,,
002654,000852,2026-06-28,2026-06-28,,
002668,000852,2026-06-28,2026-06-28,,
002675,000852,2026-06-28,2026-06-28,2016-12-12,
002681,000852,2026-06-28,2026-06-28,,
002690,000852,2026-06-28,2026-06-28,2025-06-16,
002698,000852,2026-06-28,2026-06-28,2018-12-17,
002701,000852,2026-06-28,2026-06-28,2023-06-12,
002705,000852,2026-06-28,2026-06-28,2023-12-11,
002706,000852,2026-06-28,2026-06-28,2020-06-15,
002716,000852,2026-06-28,2026-06-28,,
002727,000852,2026-06-28,2026-06-28,2018-06-11,
002737,000852,2026-06-28,2026-06-28,2015-06-15,
002745,000852,2026-06-28,2026-06-28,2023-12-11,
002747,000852,2026-06-28,2026-06-28,,
002755,000852,2026-06-28,2026-06-28,,
002761,000852,2026-06-28,2026-06-28,,
002768,000852,2026-06-28,2026-06-28,2026-06-15,
002779,000852,2026-06-28,2026-06-28,2025-06-16,
002807,000852,2026-06-28,2026-06-28,2021-06-15,
002815,000852,2026-06-28,2026-06-28,2022-12-12,
002827,000852,2026-06-28,2026-06-28,2026-05-11,
002832,000852,2026-06-28,2026-06-28,2019-12-16,
002838,000852,2026-06-28,2026-06-28,2026-06-15,
002839,000852,2026-06-28,2026-06-28,2021-12-13,
002840,000852,2026-06-28,2026-06-28,2023-06-12,
002847,000852,2026-06-28,2026-06-28,2020-12-14,
002859,000852,2026-06-28,2026-06-28,2017-12-11,
002867,000852,2026-06-28,2026-06-28,2025-06-16,
002881,000852,2026-06-28,2026-06-28,2025-06-16,
002882,000852,2026-06-28,2026-06-28,2025-12-15,
002891,000852,2026-06-28,2026-06-28,2021-06-15,
002892,000852,2026-06-28,2026-06-28,2025-06-16,
002895,000852,2026-06-28,2026-06-28,2018-06-11,
002896,000852,2026-06-28,2026-06-28,2025-12-15,
002897,000852,2026-06-28,2026-06-28,2025-06-16,
002901,000852,2026-06-28,2026-06-28,2023-12-11,
002906,000852,2026-06-28,2026-06-28,2018-06-11,
002911,000852,2026-06-28,2026-06-28,2018-06-11,
002913,000852,2026-06-28,2026-06-28,,
002922,000852,2026-06-28,2026-06-28,2026-06-15,
002925,000852,2026-06-28,2026-06-28,,
002928,000852,2026-06-28,2026-06-28,2018-12-17,
002929,000852,2026-06-28,2026-06-28,2018-12-17,
002936,000852,2026-06-28,2026-06-28,,
002941,000852,2026-06-28,2026-06-28,2021-06-15,
002946,000852,2026-06-28,2026-06-28,2022-12-12,
002947,000852,2026-06-28,2026-06-28,,
002948,000852,2026-06-28,2026-06-28,2023-06-12,
002958,000852,2026-06-28,2026-06-28,2026-06-15,
002960,000852,2026-06-28,2026-06-28,2020-06-15,
002961,000852,2026-06-28,2026-06-28,2026-06-15,
002965,000852,2026-06-28,2026-06-28,2025-12-15,
002967,000852,2026-06-28,2026-06-28,2020-06-15,
002978,000852,2026-06-28,2026-06-28,,
002979,000852,2026-06-28,2026-06-28,,
002985,000852,2026-06-28,2026-06-28,2023-12-11,
002987,000852,2026-06-28,2026-06-28,2020-12-14,
002993,000852,2026-06-28,2026-06-28,2021-06-15,
003006,000852,2026-06-28,2026-06-28,2021-06-15,
003010,000852,2026-06-28,2026-06-28,2026-06-15,
003039,000852,2026-06-28,2026-06-28,2021-12-13,
